__str__,video_type,id,title,description,access_tier,access_reason,access_expiry,length,max_resolution,season,episode_number,creation_date,update_date,live_start_date,live_end_date,is_live,is_featured,location_file,location_folder,thumbnail_image,episode_image,feature_image,available_regions,maturity_rating,is_kids,genre,lead_roles,guest_roles,directors,contract,trailer_movie,trailer_season,content_type,object_id,airtable_record,sync_status,tags,organizations,Reason for Deleting
"Changing Your World with Creflo Dollar :: 3 :: October 2, 2020: The Contrast - Identity vs. Performance Part 1b",Episode,,"October 2, 2020: The Contrast - Identity vs. Performance Part 1b","Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:34,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-10-02 00:00,,,,CDM_CD1020_02,CrefloDollar/2020/2020.10,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recKWrR4jKsCh9Rbj,DELETE,"topic:practical wisdom,genre:teaching series",Corco+,Duplicated
"Changing Your World with Creflo Dollar :: 3 :: October 5, 2020: The Contrast - Righteousness & Condemnation - Part 1a",Episode,,"October 5, 2020: The Contrast - Righteousness & Condemnation - Part 1a","Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:32,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-10-05 00:00,,,,CDM_CD1020_05,CrefloDollar/2020/2020.10,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recjI52kIfWgHdkaI,DELETE,"topic:practical wisdom,genre:teaching series",Corco+,Duplicated
"Changing Your World with Creflo Dollar :: 3 :: October 6, 2020: The Contrast - Righteousness & Condemnation - Part 1b",Episode,,"October 6, 2020: The Contrast - Righteousness & Condemnation - Part 1b","Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:34,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-10-06 00:00,,,,CDM_CD1020_06,CrefloDollar/2020/2020.10,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recvwg4XU4YUvowtd,DELETE,"topic:practical wisdom,genre:teaching series",Corco+,Duplicated
"Changing Your World with Creflo Dollar :: 3 :: October 7, 2020: The Contrast - Self Effort vs Rest Part 1a",Episode,,"October 7, 2020: The Contrast - Self Effort vs Rest Part 1a","Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:34,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-10-07 00:00,,,,CDM_CD1020_07,CrefloDollar/2020/2020.10,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recGVarpjdJiyx5JT,DELETE,"topic:healthy living,genre:teaching series",Corco+,Duplicated
"Changing Your World with Creflo Dollar :: 3 :: October 11, 2020: Positioning Yourself to be Led by God - Part 1b",Episode,,"October 11, 2020: Positioning Yourself to be Led by God - Part 1b","Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:31,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-10-11 00:00,,,,CDM_CW1020_11,CrefloDollar/2020/2020.10,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recAYmhv6IS1cKnFW,DELETE,"topic:calling,genre:teaching series",Corco+,Duplicated
The Gaither Gospel Hour :: 1 :: Gaither Vocal Band: Reunited LIVE,Episode,11464,Gaither Vocal Band: Reunited LIVE,"A historical reunion weekend of song and inspiration is captured with Reunited LIVE, featuring over 20 members, past and present, of the legendary Gaither Vocal Band.  Bill Gaither, Guy Penrod, Gary McSpadden, David Phelps, Michael English, Larnelle Harris and more gathered in concert for the first time for unprecedented performances of classic hits. You can have a front row seat to experience award-winning harmonies, hope and encouragement from these longtime friends and renowned talents.",1_FREE,,,57:30,1080,The Gaither Gospel Hour :: 1,62,2020-10-08 21:51,2024-08-14 12:00,2021-09-09 00:00,2024-08-13 00:00,,,TGHH_GVB_REUNITED_LIVE_2020,GaitherHomecoming,,https://images.corcoplus.com/TvShows/GaitherHomecoming/TGHH_GVB_REUNITED_LIVE_2020.jpg,https://images.corcoplus.com/TvShows/GaitherHomecoming/TGHH_648x364.jpg,,,,,,,,,,,,,reciIgXbaArB66PAl,DELETE,genre:music series,Corco+,Duplicated
"Changing Your World with Creflo Dollar :: 3 :: October 8, 2020: The Contrast - Self Effort vs Rest Part 1b",Episode,,"October 8, 2020: The Contrast - Self Effort vs Rest Part 1b","Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:31,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-10-08 00:00,,,,CDM_CD1020_08,CrefloDollar/2020/2020.10,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,rec47K7VVq3q4R86m,DELETE,"topic:healthy living,genre:teaching series",Corco+,Duplicated
"Changing Your World with Creflo Dollar :: 3 :: October 9, 2020: The Contrast - Self Effort vs Rest Part 2a",Episode,,"October 9, 2020: The Contrast - Self Effort vs Rest Part 2a","Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:34,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-10-09 00:00,,,,CDM_CD1020_09,CrefloDollar/2020/2020.10,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recsmYsFIXQ4OjLHD,DELETE,"topic:healthy living,genre:teaching series",Corco+,Duplicated
"Changing Your World with Creflo Dollar :: 3 :: October 12, 2020: The Contrast - Self Effort vs Rest Part 2b",Episode,,"October 12, 2020: The Contrast - Self Effort vs Rest Part 2b","Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:34,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-10-12 00:00,,,,CDM_CD1020_12,CrefloDollar/2020/2020.10,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recYSvksrEoVJtNZE,DELETE,"topic:healthy living,genre:teaching series",Corco+,Duplicated
"Changing Your World with Creflo Dollar :: 3 :: October 13, 2020: No More Worries - Part 1a",Episode,,"October 13, 2020: No More Worries - Part 1a","Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:31,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-10-13 00:00,,,,CDM_CD1020_13,CrefloDollar/2020/2020.10,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recn6LMm4fx20vrpJ,DELETE,"topic:healthy living,genre:teaching series",Corco+,Duplicated
"Changing Your World with Creflo Dollar :: 3 :: October 14, 2020: No More Worries - Part 1b",Episode,,"October 14, 2020: No More Worries - Part 1b","Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:31,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-10-14 00:00,,,,CDM_CD1020_14,CrefloDollar/2020/2020.10,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,reccj2fmilnM06pZV,DELETE,"topic:healthy living,genre:teaching series",Corco+,Duplicated
"Changing Your World with Creflo Dollar :: 3 :: October 15, 2020:  No More Worries - Part 2a",Episode,,"October 15, 2020:  No More Worries - Part 2a","Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:32,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-10-15 00:00,,,,CDM_CD1020_15,CrefloDollar/2020/2020.10,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recl9kR0RSOCl8G0t,DELETE,"topic:healthy living,genre:teaching series",Corco+,Duplicated
"Changing Your World with Creflo Dollar :: 3 :: October 16, 2020: No More Worries - Part 2b",Episode,,"October 16, 2020: No More Worries - Part 2b","Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:32,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-10-16 00:00,,,,CDM_CD1020_16,CrefloDollar/2020/2020.10,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recIYfit0GFxBbfVi,DELETE,"topic:healthy living,genre:teaching series",Corco+,Duplicated
"Changing Your World with Creflo Dollar :: 3 :: October 18, 2020: Positioning Yourself to be Led by God - Part 2a",Episode,,"October 18, 2020: Positioning Yourself to be Led by God - Part 2a","Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:34,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-10-18 00:00,,,,CDM_CW1020_18,CrefloDollar/2020/2020.10,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,rechlvAhn613NPTy5,DELETE,"topic:calling,genre:teaching series",Corco+,Duplicated
Changing Your World with Creflo Dollar :: 2 :: No More Worries - Part 1a,Episode,,No More Worries - Part 1a,"Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:31,1080,Changing Your World with Creflo Dollar :: 2,,2019-12-03 23:06,2020-09-01 18:03,2019-12-01 00:00,,,,CDM_CW1219_01,CrefloDollar/2019.12,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recEhH9AL1dj4OibX,DELETE,"topic:peace,genre:teaching series",Corco+,Duplicated
"Changing Your World with Creflo Dollar :: 3 :: October 25, 2020: Positioning Yourself to be Led By God - Part 2",Episode,,"October 25, 2020: Positioning Yourself to be Led By God - Part 2","Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:34,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-10-25 00:00,,,,CDM_CW1020_25,CrefloDollar/2020/2020.10,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recopxPaqYvZNl9gf,DELETE,"topic:calling,genre:teaching series",Corco+,Duplicated
"Changing Your World with Creflo Dollar :: 3 :: November 8, 2020: How to Overcome Procrastination - Part 2",Episode,,"November 8, 2020: How to Overcome Procrastination - Part 2","Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:32,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-11-08 00:00,,,,CDM_CW1120_08,CrefloDollar/2020/2020.11,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recjfgdDrxzwcyrUf,DELETE,"topic:moving forward,genre:teaching series",Corco+,Duplicated
Changing Your World with Creflo Dollar :: 3 :: Living the Grateful Life               ,Episode,,Living the Grateful Life               ,"Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:34,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-11-26 00:00,2024-05-19 00:00,,,CDM_CD1120_26,CrefloDollar/2020/2020.11,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recQNzGxhj1jG19sH,DELETE,"topic:thankfulness,genre:teaching series",Corco+,Duplicated
Changing Your World with Creflo Dollar :: 3 :: Causes of Depression and how to Get Out of It (Re-air),Episode,,Causes of Depression and how to Get Out of It (Re-air),"Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:34,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-12-06 00:00,2024-05-19 00:00,,,CDM_CW1220_06,CrefloDollar/2020/2020.12,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recVStdZXnCqsyoec,DELETE,"topic:mental health,genre:teaching series",Corco+,Duplicated
The Gaither Gospel Hour :: 1 :: Country Family Reunion: Wednesday Night Prayer Meeting,Episode,13114,Country Family Reunion: Wednesday Night Prayer Meeting,"Hosted by Country Music Hall of Famer Bill Anderson, this recording showcases heartfelt performances from some of country music’s legendary artists. Ricky Skaggs, The Oak Ridge Boys, the Gatlin Brothers, The Isaacs, Jimmy Fortune, Gene Watson and others gather on one stage to celebrate their faith through inspiring stories and classic gospel hits including ""Victory in Jesus,"" ""Beulah Land,"" ""Sweet, Sweet Spirit,"" ""It Is Well,"" ""Rock of Ages"" and more.",1_FREE,,,57:30,1080,The Gaither Gospel Hour :: 1,66,2021-05-05 22:01,2024-08-14 12:00,2021-09-09 00:00,2024-08-13 00:00,,,TGHH_COUNTRY_FAMILY_REUNION,GaitherHomecoming,,https://images.corcoplus.com/TvShows/GaitherHomecoming/TGHH_COUNTRY_FAMILY_REUNION.jpg,https://images.corcoplus.com/TvShows/GaitherHomecoming/TGHH_648x364.jpg,,,,,,,,,,,,,recJy8DIT2axY4S1M,DELETE,genre:music series,Corco+,Duplicated
Changing Your World with Creflo Dollar :: 3 :: Causes of Depression and how to Get Out of It (Re-air),Episode,,Causes of Depression and how to Get Out of It (Re-air),"Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:34,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-12-13 00:00,2024-05-19 00:00,,,CDM_CW1220_13,CrefloDollar/2020/2020.12,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recU6Ycxmz6mWSl5W,DELETE,"topic:mental health,genre:teaching series",Corco+,Duplicated
Changing Your World with Creflo Dollar :: 3 :: How to Win Over Depression - Part 2a,Episode,,How to Win Over Depression - Part 2a,"Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:34,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-12-21 00:00,2024-05-19 00:00,,,CDM_CD1220_21,CrefloDollar/2020/2020.12,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recboGCf2c98szZFS,DELETE,"topic:mental health,genre:teaching series",Corco+,Duplicated
Changing Your World with Creflo Dollar :: 3 :: How to Win Over Depression - Part 3a,Episode,,How to Win Over Depression - Part 3a,"Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:34,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-12-23 00:00,2024-05-19 00:00,,,CDM_CD1220_23,CrefloDollar/2020/2020.12,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recoRxw7fMicZ4ZVf,DELETE,"topic:mental health,genre:teaching series",Corco+,Duplicated
Changing Your World with Creflo Dollar :: 3 :: How to Win Over Depression - Part 3b,Episode,,How to Win Over Depression - Part 3b,"Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:34,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-12-24 00:00,2024-05-19 00:00,,,CDM_CD1220_24,CrefloDollar/2020/2020.12,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recp6tMp1G4VKQkAA,DELETE,"topic:mental health,genre:teaching series",Corco+,Duplicated
Changing Your World with Creflo Dollar :: 3 :: Mastering Your Emotions with Peace - Part 1a,Episode,,Mastering Your Emotions with Peace - Part 1a,"Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:34,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-12-28 00:00,2024-05-19 00:00,,,CDM_CD1220_28,CrefloDollar/2020/2020.12,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recBjkDIiGLQspMNU,DELETE,"topic:peace,genre:teaching series",Corco+,Duplicated
Changing Your World with Creflo Dollar :: 3 :: Mastering Your Emotions with Peace - Part 1b,Episode,,Mastering Your Emotions with Peace - Part 1b,"Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:34,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-12-29 00:00,2024-05-19 00:00,,,CDM_CD1220_29,CrefloDollar/2020/2020.12,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recj182PGJHG5ghbV,DELETE,"topic:peace,genre:teaching series",Corco+,Duplicated
Changing Your World with Creflo Dollar :: 3 :: Mastering Your Emotions with Joy - Part 1a,Episode,,Mastering Your Emotions with Joy - Part 1a,"Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:34,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-12-30 00:00,2024-05-19 00:00,,,CDM_CD1220_30,CrefloDollar/2020/2020.12,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recTRepzUKsAKj5zF,DELETE,"topic:practical wisdom,genre:teaching series",Corco+,Duplicated
Changing Your World with Creflo Dollar :: 3 :: Mastering Your Emotions with Joy - Part 1b,Episode,,Mastering Your Emotions with Joy - Part 1b,"Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:34,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-12-31 00:00,2024-05-19 00:00,,,CDM_CD1220_31,CrefloDollar/2020/2020.12,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recMiIkRRVzJ0C8IT,DELETE,"topic:practical wisdom,genre:teaching series",Corco+,Duplicated
Changing Your World with Creflo Dollar :: 4 :: Eliminating the Bondage of Fear - Part 1a,Episode,,Eliminating the Bondage of Fear - Part 1a,"Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:34,1080,Changing Your World with Creflo Dollar :: 4,,,,2021-01-03 00:00,2024-05-19 00:00,,,CDM_CW0121_03,CrefloDollar/2021/2021.01,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,reck7UR7KADiymoHs,DELETE,"topic:healthy living,genre:teaching series",Corco+,Duplicated
Changing Your World with Creflo Dollar :: 3 :: Steps Out of Depression - Part 1a,Episode,,Steps Out of Depression - Part 1a,"Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:34,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-12-20 00:00,2024-05-19 00:00,,,CDM_CW1220_20,CrefloDollar/2020/2020.12,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recO5IYqQAW57AuwD,DELETE,"topic:mental health,genre:teaching series",Corco+,Duplicated
Changing Your World with Creflo Dollar :: 3 :: Steps Out of Depression - Part 1b,Episode,,Steps Out of Depression - Part 1b,"Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:34,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-12-27 00:00,2024-05-19 00:00,,,CDM_CW1220_27,CrefloDollar/2020/2020.12,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,reciWKAu6eVoJ77EA,DELETE,"topic:mental health,genre:teaching series",Corco+,Duplicated
Changing Your World with Creflo Dollar :: 3 :: How to Win Over Depression - Part 2b,Episode,,How to Win Over Depression - Part 2b,"Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:32,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-12-22 00:00,2024-05-19 00:00,,,CDM_CD1220_22,CrefloDollar/2020/2020.12,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recDUccLIXHGfAIg3,DELETE,"topic:mental health,genre:teaching series",Corco+,Duplicated
Changing Your World with Creflo Dollar :: 3 :: How to Win Over Depression - Part 1b,Episode,,How to Win Over Depression - Part 1b,"Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:32,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-12-18 00:00,2024-05-19 00:00,,,CDM_CD1220_18,CrefloDollar/2020/2020.12,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,receLVpigumYC00gs,DELETE,"topic:mental health,genre:teaching series",Corco+,Duplicated
Changing Your World with Creflo Dollar :: 3 :: How to Win Over Depression - Part 1a,Episode,,How to Win Over Depression - Part 1a,"Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:32,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-12-17 00:00,2024-05-19 00:00,,,CDM_CD1220_17,CrefloDollar/2020/2020.12,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,reclUYkhwTA9u9q7F,DELETE,"topic:mental health,genre:teaching series",Corco+,Duplicated
The Gaither Gospel Hour :: 1 :: Carrie Underwood: My Savior,Episode,14645,Carrie Underwood: My Savior,"Seven-time GRAMMY® Award winner and three-time ACM Entertainer of the Year Carrie Underwood has recorded her first-ever gospel LIVE performance. Filmed at the celebrated Ryman Auditorium, known around the world as ""The Mother Church of Country Music,"" the superstar brings her best-selling, critically-acclaimed My Savior album to that legendary stage with breathtaking performances of those timeless songs, including traditional hymns such as ""Amazing Grace,"" ""Great Is Thy Faithfulness"" (featuring CeCe Winans), and ""How Great Thou Art.""",2_PREMIUM,,,57:30,1080,The Gaither Gospel Hour :: 1,70,2021-10-15 22:37,2024-08-14 12:00,2021-10-15 00:00,2024-08-13 00:00,,,TGHH_CARRIE_U_MY_SAVIOR,GaitherHomecoming,,https://images.corcoplus.com/TvShows/GaitherHomecoming/TGHH_CARRIE_U_MY_SAVIOR.jpg,https://images.corcoplus.com/TvShows/GaitherHomecoming/TGHH_648x364.jpg,,,,,,,,,,,,,recFHjHD2exCWLvCq,DELETE,genre:music series,Corco+,Duplicated
The Gaither Gospel Hour :: 1 :: All Heaven and Nature Sing,Episode,15306,All Heaven and Nature Sing,"Gospel Music Hall of Famers the Gaither Vocal Band continue to raise the standard of benchmark harmonies with this uplifting special. Featuring innovative renditions of classic favorites as well as signature versions of new songs, That’s Gospel, Brother spotlights not only their individual talents but their seamless group blends. Showcasing several new up-tempo selections, this release captures the quintet’s stage energy and offers messages of hope and encouragement for life's challenges.",2_PREMIUM,,,57:30,1080,The Gaither Gospel Hour :: 1,75,2021-12-21 20:57,2024-08-14 12:00,2021-11-13 00:00,2024-08-13 00:00,,,TGHH_GVB_ALL_HEAVEN_SING,GaitherHomecoming,,https://images.corcoplus.com/TvShows/GaitherHomecoming/TGHH_GVB_ALL_HEAVEN_SING.jpg,https://images.corcoplus.com/TvShows/GaitherHomecoming/TGHH_648x364.jpg,,,,,,,,,,,,,recDdOvczlRX8meiP,DELETE,genre:music series,Corco+,Duplicated
